S No.,Value Date,Transaction Date,Withdrawal Amount(INR),Deposit Amount(INR),Balance(INR),
206,"04,04,2025","04,04,2025",4000.00,0.00,66505.62,
207,"04,04,2025","04,04,2025",63.00,0.00,66442.62,
208,"04,04,2025","04,04,2025",1300.00,0.00,65142.62,
209,"04,04,2025","04,04,2025",100.00,0.00,65042.62,
210,"05,04,2025","05,04,2025",551.00,0.00,64491.62,
211,"05,04,2025","05,04,2025",0.00,52289.99,116781.61,
212,"05,04,2025","05,04,2025",150.00,0.00,116631.61,
213,"06,04,2025","06,04,2025",80.00,0.00,116551.61,
214,"06,04,2025","06,04,2025",180.00,0.00,116371.61,
215,"06,04,2025","06,04,2025",1017.00,0.00,115354.61,
216,"07,04,2025","07,04,2025",869.00,0.00,114485.61,
217,"07,04,2025","07,04,2025",50.00,0.00,114435.61,
218,"07,04,2025","07,04,2025",220.00,0.00,114215.61,
219,"07,04,2025","07,04,2025",25.00,0.00,114190.61,
220,"07,04,2025","07,04,2025",500.00,0.00,113690.61,
221,"07,04,2025","07,04,2025",0.00,5000.00,118690.61,
222,"07,04,2025","07,04,2025",5000.00,0.00,113690.61,
223,"07,04,2025","07,04,2025",0.00,5000.00,118690.61,
224,"08,04,2025","08,04,2025",5000.00,0.00,113690.61,
225,"08,04,2025","08,04,2025",146.00,0.00,113544.61,
226,"08,04,2025","08,04,2025",65.00,0.00,113479.61,
227,"08,04,2025","08,04,2025",35.00,0.00,113444.61,
228,"08,04,2025","08,04,2025",0.00,88000.00,201444.61,
229,"08,04,2025","08,04,2025",0.00,15000.00,216444.61,
230,"08,04,2025","08,04,2025",2.00,0.00,216442.61,
231,"08,04,2025","08,04,2025",199998.00,0.00,16444.61,
232,"08,04,2025","08,04,2025",140.00,0.00,16304.61,
233,"08,04,2025","08,04,2025",220.00,0.00,16084.61,
234,"08,04,2025","08,04,2025",160.00,0.00,15924.61,
235,"09,04,2025","09,04,2025",149.00,0.00,15775.61,
236,"09,04,2025","09,04,2025",65.00,0.00,15710.61,
237,"09,04,2025","09,04,2025",25.00,0.00,15685.61,
238,"09,04,2025","09,04,2025",147.00,0.00,15538.61,
239,"10,04,2025","10,04,2025",150.00,0.00,15388.61,
240,"10,04,2025","10,04,2025",119.00,0.00,15269.61,
241,"10,04,2025","10,04,2025",40.00,0.00,15229.61,
242,"10,04,2025","10,04,2025",180.00,0.00,15049.61,
243,"10,04,2025","10,04,2025",104.00,0.00,14945.61,
244,"11,04,2025","11,04,2025",328.00,0.00,14617.61,
,,,,,,
245,"12,04,2025","12,04,2025",3500.00,0.00,11117.61,
246,"12,04,2025","12,04,2025",25.00,0.00,11092.61,
247,"13,04,2025","13,04,2025",447.00,0.00,10645.61,
248,"15,04,2025","15,04,2025",1000.00,0.00,9645.61,
249,"15,04,2025","15,04,2025",2.00,0.00,9643.61,
250,"19,04,2025","19,04,2025",78.97,0.00,9564.64,
251,"19,04,2025","19,04,2025",2074.00,0.00,7490.64,
252,"19,04,2025","19,04,2025",150.00,0.00,7340.64,
253,"19,04,2025","19,04,2025",0.00,1.00,7341.64,
254,"19,04,2025","19,04,2025",312.00,0.00,7029.64,
255,"19,04,2025","19,04,2025",0.00,199999.00,207028.64,
256,"19,04,2025","19,04,2025",100.00,0.00,206928.64,
257,"19,04,2025","19,04,2025",159.00,0.00,206769.64,
258,"20,04,2025","20,04,2025",261.00,0.00,206508.64,
259,"20,04,2025","20,04,2025",80.00,0.00,206428.64,
260,"23,04,2025","23,04,2025",195.00,0.00,206233.64,
261,"23,04,2025","23,04,2025",50.00,0.00,206183.64,
262,"23,04,2025","23,04,2025",210.00,0.00,205973.64,
263,"24,04,2025","24,04,2025",1468.32,0.00,204505.32,
264,"24,04,2025","24,04,2025",270.00,0.00,204235.32,
265,"24,04,2025","24,04,2025",420.00,0.00,203815.32,
266,"26,04,2025","26,04,2025",500.00,0.00,203315.32,
267,"26,04,2025","26,04,2025",320.00,0.00,202995.32,
268,"27,04,2025","27,04,2025",3100.00,0.00,199895.32,
